,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],0.819,0.051,0.768,0.87
beta[1],0.294,0.049,0.245,0.343
beta[2],0.752,0.144,0.607,0.896
beta[3],-0.116,0.441,-0.557,0.325
beta[4],0.63,0.249,0.381,0.879
beta[5],-0.182,0.24,-0.426,0.061
beta[6],-0.107,0.153,-0.27,0.046
likelihood_unobserved[0],0.003,0.001,0.002,0.004
likelihood_unobserved[1],0.007,0.001,0.006,0.007
likelihood_unobserved[2],0.004,0.002,0.002,0.005
likelihood_unobserved[3],0.003,0.001,0.002,0.004
likelihood_unobserved[4],0.007,0.005,0.001,0.012
likelihood_unobserved[5],0.003,0.001,0.002,0.003
likelihood_unobserved[6],0.008,0.003,0.005,0.011
likelihood_unobserved[7],0.006,0.003,0.003,0.009
likelihood_unobserved[8],0.002,0.0,0.002,0.003
likelihood_unobserved[9],0.003,0.0,0.003,0.003
likelihood_unobserved[10],0.005,0.003,0.001,0.008
likelihood_unobserved[11],0.007,0.005,0.002,0.012
likelihood_unobserved[12],0.003,0.002,0.001,0.005
likelihood_unobserved[13],0.003,0.001,0.002,0.004
likelihood_unobserved[14],0.005,0.003,0.002,0.008
likelihood_unobserved[15],0.006,0.0,0.005,0.006
likelihood_unobserved[16],0.002,0.001,0.001,0.002
likelihood_unobserved[17],0.003,0.002,0.001,0.006
likelihood_unobserved[18],0.008,0.006,0.003,0.014
likelihood_unobserved[19],0.004,0.002,0.002,0.006
likelihood_unobserved[20],0.004,0.002,0.002,0.006
likelihood_unobserved[21],0.003,0.0,0.003,0.003
likelihood_unobserved[22],0.006,0.003,0.003,0.009
likelihood_unobserved[23],0.008,0.002,0.006,0.01
likelihood_unobserved[24],0.003,0.002,0.001,0.005
likelihood_unobserved[25],0.005,0.004,0.001,0.009
likelihood_unobserved[26],0.004,0.002,0.002,0.005
likelihood_unobserved[27],0.004,0.002,0.002,0.006
likelihood_unobserved[28],0.006,0.005,0.001,0.01
likelihood_unobserved[29],0.007,0.002,0.005,0.009
likelihood_unobserved[30],0.003,0.002,0.002,0.005
likelihood_unobserved[31],0.005,0.004,0.001,0.009
likelihood_unobserved[32],0.004,0.003,0.001,0.006
likelihood_unobserved[33],0.006,0.003,0.003,0.009
likelihood_unobserved[34],0.003,0.001,0.002,0.004
likelihood_unobserved[35],0.005,0.001,0.004,0.006
likelihood_unobserved[36],0.006,0.002,0.004,0.007
likelihood_unobserved[37],0.003,0.001,0.002,0.005
likelihood_unobserved[38],0.005,0.0,0.005,0.005
likelihood_unobserved[39],0.006,0.005,0.001,0.01
likelihood_unobserved[40],0.005,0.001,0.004,0.006
likelihood_unobserved[41],0.004,0.002,0.003,0.006
likelihood_unobserved[42],0.004,0.001,0.003,0.004
likelihood_unobserved[43],0.002,0.001,0.001,0.002
likelihood_unobserved[44],0.004,0.003,0.001,0.007
likelihood_unobserved[45],0.005,0.002,0.003,0.007
likelihood_unobserved[46],0.005,0.001,0.003,0.006
likelihood_unobserved[47],0.005,0.003,0.002,0.007
likelihood_unobserved[48],0.005,0.003,0.003,0.008
likelihood_unobserved[49],0.003,0.001,0.002,0.004
likelihood_unobserved[50],0.007,0.004,0.004,0.011
likelihood_unobserved[51],0.005,0.001,0.004,0.006
likelihood_unobserved[52],0.002,0.001,0.002,0.003
likelihood_unobserved[53],0.009,0.005,0.004,0.013
