,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],1.779,0.185,1.42,2.149
beta[1],0.048,0.005,0.038,0.057
beta[2],0.433,0.017,0.401,0.466
beta[3],0.053,0.038,-0.021,0.127
beta[4],-0.038,0.009,-0.056,-0.019
beta[5],0.0,0.0,0.0,0.0
beta[6],0.0,0.0,-0.0,0.0
likelihood_unobserved[0],4.053,1.695,0.759,7.345
likelihood_unobserved[1],4.063,1.727,0.824,7.516
likelihood_unobserved[2],4.042,1.715,0.668,7.413
likelihood_unobserved[3],4.021,1.709,0.772,7.423
likelihood_unobserved[4],4.043,1.723,0.566,7.306
likelihood_unobserved[5],4.011,1.709,0.565,7.19
likelihood_unobserved[6],4.058,1.689,0.768,7.402
likelihood_unobserved[7],4.07,1.693,0.691,7.277
likelihood_unobserved[8],4.049,1.703,0.818,7.45
likelihood_unobserved[9],4.056,1.73,0.565,7.299
likelihood_unobserved[10],4.021,1.723,0.655,7.463
likelihood_unobserved[11],4.04,1.724,0.666,7.342
likelihood_unobserved[12],4.017,1.742,0.573,7.411
likelihood_unobserved[13],4.026,1.718,0.757,7.485
likelihood_unobserved[14],4.041,1.735,0.533,7.306
likelihood_unobserved[15],4.018,1.739,0.713,7.533
likelihood_unobserved[16],4.031,1.713,0.773,7.414
likelihood_unobserved[17],4.009,1.737,0.553,7.346
likelihood_unobserved[18],4.058,1.707,0.868,7.487
likelihood_unobserved[19],4.04,1.707,0.643,7.332
likelihood_unobserved[20],4.034,1.736,0.602,7.325
likelihood_unobserved[21],4.05,1.728,0.689,7.436
likelihood_unobserved[22],4.039,1.731,0.666,7.426
likelihood_unobserved[23],4.028,1.702,0.803,7.355
likelihood_unobserved[24],4.028,1.745,0.595,7.401
likelihood_unobserved[25],4.067,1.736,0.647,7.439
likelihood_unobserved[26],4.041,1.713,0.576,7.223
likelihood_unobserved[27],4.031,1.73,0.561,7.255
likelihood_unobserved[28],4.055,1.715,0.62,7.264
likelihood_unobserved[29],4.045,1.701,0.873,7.478
likelihood_unobserved[30],4.039,1.724,0.614,7.339
likelihood_unobserved[31],4.042,1.687,0.815,7.436
likelihood_unobserved[32],4.032,1.722,0.73,7.416
likelihood_unobserved[33],4.027,1.745,0.692,7.518
likelihood_unobserved[34],4.017,1.76,0.669,7.607
likelihood_unobserved[35],4.036,1.712,0.74,7.402
likelihood_unobserved[36],4.045,1.704,0.531,7.184
likelihood_unobserved[37],4.026,1.746,0.557,7.433
likelihood_unobserved[38],4.038,1.737,0.749,7.518
likelihood_unobserved[39],4.036,1.746,0.625,7.47
likelihood_unobserved[40],4.038,1.724,0.61,7.355
likelihood_unobserved[41],4.054,1.718,0.603,7.366
likelihood_unobserved[42],4.034,1.741,0.603,7.42
likelihood_unobserved[43],4.065,1.719,0.761,7.498
likelihood_unobserved[44],4.03,1.71,0.828,7.451
likelihood_unobserved[45],4.042,1.734,0.498,7.351
likelihood_unobserved[46],4.012,1.741,0.533,7.403
likelihood_unobserved[47],4.031,1.721,0.626,7.36
likelihood_unobserved[48],4.026,1.715,0.621,7.31
likelihood_unobserved[49],4.042,1.702,0.809,7.452
likelihood_unobserved[50],4.036,1.72,0.667,7.379
likelihood_unobserved[51],4.033,1.757,0.547,7.431
likelihood_unobserved[52],4.041,1.735,0.604,7.417
likelihood_unobserved[53],4.028,1.72,0.686,7.459
likelihood_unobserved[54],4.04,1.703,0.803,7.457
likelihood_unobserved[55],4.05,1.716,0.549,7.263
