,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],1.793,0.199,1.436,2.195
beta[1],0.028,0.005,0.018,0.038
beta[2],-0.401,0.013,-0.428,-0.377
beta[3],0.057,0.04,-0.019,0.139
beta[4],-0.051,0.01,-0.068,-0.031
beta[5],0.001,0.0,0.001,0.001
beta[6],0.0,0.0,-0.0,0.0
likelihood_unobserved[0],2.624,2.219,-1.636,7.027
likelihood_unobserved[1],2.612,2.202,-1.673,6.843
likelihood_unobserved[2],2.638,2.36,-1.845,7.323
likelihood_unobserved[3],2.694,2.277,-1.677,7.162
likelihood_unobserved[4],2.571,2.239,-1.982,6.786
likelihood_unobserved[5],2.625,2.253,-1.799,6.887
likelihood_unobserved[6],2.733,2.177,-1.32,7.07
likelihood_unobserved[7],2.653,2.271,-1.872,7.019
likelihood_unobserved[8],2.659,2.223,-1.7,6.897
likelihood_unobserved[9],2.713,2.156,-1.553,6.718
likelihood_unobserved[10],2.723,2.191,-1.581,7.129
likelihood_unobserved[11],2.637,2.306,-1.818,7.415
likelihood_unobserved[12],2.734,2.191,-1.366,7.197
likelihood_unobserved[13],2.716,2.297,-1.485,7.11
likelihood_unobserved[14],2.689,2.213,-1.415,7.09
likelihood_unobserved[15],2.648,2.235,-1.941,6.988
likelihood_unobserved[16],2.655,2.237,-1.531,7.213
likelihood_unobserved[17],2.68,2.264,-1.906,7.13
likelihood_unobserved[18],2.686,2.182,-1.86,6.721
likelihood_unobserved[19],2.774,2.241,-1.738,6.902
likelihood_unobserved[20],2.624,2.2,-1.726,6.808
likelihood_unobserved[21],2.719,2.277,-1.819,6.959
likelihood_unobserved[22],2.657,2.307,-1.902,7.06
likelihood_unobserved[23],2.692,2.225,-1.882,6.909
likelihood_unobserved[24],2.695,2.258,-1.72,6.889
likelihood_unobserved[25],2.595,2.137,-1.333,6.936
likelihood_unobserved[26],2.671,2.309,-1.705,7.289
likelihood_unobserved[27],2.615,2.301,-2.163,7.019
likelihood_unobserved[28],2.692,2.287,-1.849,7.1
likelihood_unobserved[29],2.676,2.188,-1.521,6.732
likelihood_unobserved[30],2.669,2.269,-1.815,6.818
likelihood_unobserved[31],2.654,2.221,-1.763,6.877
likelihood_unobserved[32],2.663,2.173,-1.197,7.134
likelihood_unobserved[33],2.668,2.168,-1.534,6.934
likelihood_unobserved[34],2.703,2.192,-1.303,7.113
likelihood_unobserved[35],2.753,2.247,-1.801,7.075
likelihood_unobserved[36],2.638,2.206,-1.476,7.071
likelihood_unobserved[37],2.685,2.228,-1.598,7.017
likelihood_unobserved[38],2.732,2.283,-1.617,7.171
likelihood_unobserved[39],2.739,2.175,-1.525,6.878
likelihood_unobserved[40],2.674,2.229,-1.791,6.754
likelihood_unobserved[41],2.718,2.28,-1.803,7.198
likelihood_unobserved[42],2.783,2.212,-1.566,7.153
likelihood_unobserved[43],2.654,2.338,-1.657,7.283
likelihood_unobserved[44],2.652,2.24,-1.999,6.769
likelihood_unobserved[45],2.684,2.225,-1.889,6.841
likelihood_unobserved[46],2.652,2.214,-1.485,7.053
likelihood_unobserved[47],2.677,2.284,-1.469,7.408
likelihood_unobserved[48],2.687,2.273,-2.009,6.872
likelihood_unobserved[49],2.661,2.175,-1.536,6.577
likelihood_unobserved[50],2.693,2.229,-1.548,7.094
likelihood_unobserved[51],2.715,2.241,-1.768,6.865
likelihood_unobserved[52],2.724,2.191,-1.867,6.852
likelihood_unobserved[53],2.736,2.315,-1.7,7.092
likelihood_unobserved[54],2.63,2.231,-1.415,7.244
likelihood_unobserved[55],2.685,2.258,-1.578,7.07
likelihood_unobserved[56],2.739,2.229,-1.546,7.186
likelihood_unobserved[57],2.687,2.189,-1.493,7.039
likelihood_unobserved[58],3.442,2.228,-0.794,8.116
likelihood_unobserved[59],2.626,2.211,-1.564,6.704
likelihood_unobserved[60],3.492,2.197,-0.615,7.875
likelihood_unobserved[61],2.685,2.225,-1.662,7.01
likelihood_unobserved[62],3.548,2.253,-0.845,7.797
likelihood_unobserved[63],2.702,2.222,-1.445,7.191
likelihood_unobserved[64],3.512,2.345,-1.101,8.051
likelihood_unobserved[65],2.664,2.232,-2.034,6.662
likelihood_unobserved[66],3.527,2.342,-0.955,8.186
likelihood_unobserved[67],2.745,2.313,-1.66,7.113
likelihood_unobserved[68],3.603,2.26,-1.489,7.555
likelihood_unobserved[69],2.754,2.344,-2.095,7.224
likelihood_unobserved[70],3.656,2.273,-0.533,8.233
likelihood_unobserved[71],2.812,2.237,-1.412,7.075
likelihood_unobserved[72],3.537,2.269,-0.938,7.855
likelihood_unobserved[73],2.743,2.282,-1.596,7.337
likelihood_unobserved[74],3.422,2.256,-0.553,8.069
likelihood_unobserved[75],2.694,2.168,-1.355,6.897
likelihood_unobserved[76],3.434,2.172,-0.864,7.696
likelihood_unobserved[77],2.602,2.165,-1.718,6.634
likelihood_unobserved[78],3.43,2.262,-0.972,7.901
likelihood_unobserved[79],2.609,2.183,-1.56,6.762
likelihood_unobserved[80],3.47,2.233,-0.89,7.818
likelihood_unobserved[81],2.614,2.192,-1.589,7.024
likelihood_unobserved[82],3.496,2.298,-1.246,7.712
likelihood_unobserved[83],2.667,2.217,-1.727,6.959
likelihood_unobserved[84],3.467,2.301,-1.501,7.811
likelihood_unobserved[85],2.606,2.219,-1.839,6.96
likelihood_unobserved[86],3.503,2.193,-0.535,8.148
likelihood_unobserved[87],2.667,2.331,-1.687,7.363
likelihood_unobserved[88],3.442,2.243,-0.6,8.119
likelihood_unobserved[89],2.649,2.242,-1.791,6.93
likelihood_unobserved[90],3.51,2.301,-0.933,7.919
likelihood_unobserved[91],2.657,2.221,-1.687,6.885
likelihood_unobserved[92],2.665,2.202,-1.41,7.318
likelihood_unobserved[93],2.697,2.295,-1.919,6.908
likelihood_unobserved[94],3.446,2.221,-0.974,7.685
likelihood_unobserved[95],2.714,2.291,-1.499,7.331
likelihood_unobserved[96],3.534,2.313,-1.194,7.885
likelihood_unobserved[97],2.674,2.189,-1.64,6.745
likelihood_unobserved[98],3.373,2.214,-0.643,7.83
likelihood_unobserved[99],2.628,2.204,-1.66,6.662
likelihood_unobserved[100],3.618,2.171,-0.55,8.046
likelihood_unobserved[101],2.783,2.218,-1.235,7.306
likelihood_unobserved[102],3.533,2.274,-1.19,7.727
likelihood_unobserved[103],2.746,2.271,-2.023,6.995
likelihood_unobserved[104],3.46,2.222,-0.977,7.804
likelihood_unobserved[105],2.704,2.164,-1.339,7.07
likelihood_unobserved[106],3.54,2.309,-0.927,7.958
likelihood_unobserved[107],2.667,2.203,-1.767,6.77
likelihood_unobserved[108],3.492,2.157,-0.667,7.826
likelihood_unobserved[109],2.64,2.221,-1.823,6.814
likelihood_unobserved[110],2.648,2.281,-1.814,7.268
likelihood_unobserved[111],3.498,2.2,-0.869,7.585
likelihood_unobserved[112],2.708,2.213,-1.331,7.222
likelihood_unobserved[113],3.485,2.183,-0.483,7.866
likelihood_unobserved[114],2.657,2.222,-1.844,7.029
likelihood_unobserved[115],3.495,2.207,-0.635,8.023
likelihood_unobserved[116],2.703,2.213,-1.531,7.183
likelihood_unobserved[117],3.587,2.276,-1.127,7.81
likelihood_unobserved[118],2.684,2.324,-1.997,7.059
likelihood_unobserved[119],3.637,2.253,-0.457,8.286
likelihood_unobserved[120],2.818,2.208,-1.445,7.365
likelihood_unobserved[121],3.669,2.148,-0.463,7.791
likelihood_unobserved[122],2.824,2.184,-1.635,7.014
likelihood_unobserved[123],3.618,2.341,-0.873,8.35
likelihood_unobserved[124],2.788,2.222,-1.305,7.357
likelihood_unobserved[125],3.646,2.265,-0.911,7.788
likelihood_unobserved[126],2.859,2.248,-1.455,7.163
likelihood_unobserved[127],3.645,2.186,-0.395,8.069
likelihood_unobserved[128],2.818,2.204,-1.61,6.988
likelihood_unobserved[129],3.635,2.251,-0.386,8.409
likelihood_unobserved[130],2.924,2.321,-1.367,7.674
likelihood_unobserved[131],3.406,2.239,-0.836,7.748
likelihood_unobserved[132],2.677,2.292,-1.655,7.085
likelihood_unobserved[133],3.5,2.236,-1.026,7.639
likelihood_unobserved[134],2.756,2.171,-1.894,6.684
likelihood_unobserved[135],3.472,2.263,-0.665,8.168
likelihood_unobserved[136],2.687,2.274,-1.633,7.256
likelihood_unobserved[137],3.545,2.19,-0.576,7.87
likelihood_unobserved[138],2.79,2.232,-1.448,7.279
likelihood_unobserved[139],3.377,2.185,-1.062,7.392
likelihood_unobserved[140],2.63,2.216,-1.701,6.972
likelihood_unobserved[141],3.503,2.321,-0.669,8.317
likelihood_unobserved[142],2.689,2.261,-1.56,7.459
likelihood_unobserved[143],3.504,2.169,-0.59,7.896
likelihood_unobserved[144],2.638,2.256,-1.852,6.915
likelihood_unobserved[145],3.416,2.229,-1.047,7.615
likelihood_unobserved[146],2.681,2.212,-1.635,6.909
likelihood_unobserved[147],3.461,2.298,-1.153,7.695
likelihood_unobserved[148],2.594,2.223,-1.635,7.005
likelihood_unobserved[149],3.478,2.298,-0.883,8.169
likelihood_unobserved[150],2.777,2.194,-1.604,6.84
likelihood_unobserved[151],3.402,2.268,-1.164,7.658
likelihood_unobserved[152],2.702,2.164,-1.433,6.869
likelihood_unobserved[153],3.522,2.18,-0.414,7.983
likelihood_unobserved[154],2.688,2.249,-1.619,7.079
likelihood_unobserved[155],3.448,2.21,-0.699,7.744
likelihood_unobserved[156],2.675,2.235,-1.524,7.315
likelihood_unobserved[157],3.512,2.202,-0.963,7.554
likelihood_unobserved[158],2.582,2.191,-1.961,6.633
likelihood_unobserved[159],3.478,2.194,-0.716,7.789
likelihood_unobserved[160],2.655,2.208,-2.043,6.626
likelihood_unobserved[161],3.486,2.217,-0.662,7.804
likelihood_unobserved[162],2.646,2.268,-1.882,6.835
likelihood_unobserved[163],3.464,2.171,-0.702,7.876
likelihood_unobserved[164],2.63,2.2,-1.484,6.941
likelihood_unobserved[165],3.524,2.229,-0.896,7.793
likelihood_unobserved[166],2.692,2.247,-1.551,7.016
likelihood_unobserved[167],3.46,2.229,-0.767,8.27
likelihood_unobserved[168],2.601,2.342,-1.969,7.058
likelihood_unobserved[169],3.51,2.094,-0.559,7.76
likelihood_unobserved[170],2.748,2.215,-1.712,7.071
likelihood_unobserved[171],3.436,2.296,-1.1,8.042
likelihood_unobserved[172],2.698,2.183,-1.445,7.054
likelihood_unobserved[173],3.49,2.283,-1.136,7.788
likelihood_unobserved[174],2.638,2.215,-1.937,6.803
likelihood_unobserved[175],3.472,2.206,-0.887,7.652
likelihood_unobserved[176],2.604,2.257,-1.465,7.388
likelihood_unobserved[177],3.527,2.206,-0.859,7.614
likelihood_unobserved[178],2.743,2.283,-1.564,7.08
likelihood_unobserved[179],3.48,2.221,-0.813,7.766
likelihood_unobserved[180],2.67,2.244,-1.575,7.176
likelihood_unobserved[181],3.517,2.209,-0.681,8.079
likelihood_unobserved[182],2.746,2.162,-1.487,6.808
