,mean,sd,hdi_2.5%,hdi_97.5%
beta[0],-150.159,48.041,-245.805,-58.41
beta[1],2.629,1.25,0.07,4.984
beta[2],24.432,3.283,17.861,30.661
beta[3],69.748,10.248,50.747,90.448
beta[4],-7.547,2.42,-12.328,-2.837
beta[5],0.145,0.027,0.091,0.195
beta[6],-0.152,0.039,-0.23,-0.079
likelihood_unobserved[0],133.886,552.642,-921.07,1242.055
likelihood_unobserved[1],124.134,552.119,-944.183,1210.545
likelihood_unobserved[2],128.878,560.755,-954.116,1240.384
likelihood_unobserved[3],134.345,548.864,-912.809,1247.792
likelihood_unobserved[4],126.111,555.41,-925.207,1244.87
likelihood_unobserved[5],130.425,562.024,-950.453,1257.402
likelihood_unobserved[6],127.474,556.388,-952.46,1237.812
likelihood_unobserved[7],134.07,555.581,-979.244,1211.89
likelihood_unobserved[8],131.067,552.922,-948.787,1200.011
likelihood_unobserved[9],135.023,545.942,-914.13,1207.667
likelihood_unobserved[10],134.298,548.441,-926.63,1209.109
likelihood_unobserved[11],127.283,555.1,-926.026,1220.106
likelihood_unobserved[12],128.983,560.773,-942.428,1247.712
likelihood_unobserved[13],124.776,562.554,-998.778,1189.812
likelihood_unobserved[14],128.308,549.772,-944.763,1202.145
likelihood_unobserved[15],131.081,558.94,-935.039,1225.676
likelihood_unobserved[16],140.596,545.677,-929.022,1206.682
likelihood_unobserved[17],130.666,552.39,-911.0,1223.953
likelihood_unobserved[18],131.362,556.32,-981.879,1196.94
likelihood_unobserved[19],129.334,561.139,-984.522,1213.468
likelihood_unobserved[20],129.37,543.075,-933.769,1195.152
likelihood_unobserved[21],134.253,550.068,-915.902,1202.938
likelihood_unobserved[22],141.406,544.739,-891.531,1234.841
likelihood_unobserved[23],130.995,554.0,-943.8,1225.65
likelihood_unobserved[24],125.473,547.962,-943.687,1208.782
likelihood_unobserved[25],133.165,563.236,-966.524,1232.179
likelihood_unobserved[26],131.079,554.792,-944.874,1235.145
likelihood_unobserved[27],139.317,546.359,-949.973,1205.382
likelihood_unobserved[28],134.584,556.804,-957.082,1216.951
